Cost Center,Program Code,Grant,Budget,Big Bet,Priority Place,Country,,
CC215 Corporate Fundraising,43900000 PSE Communications,GR000000.01 Non-Program Unrestricted PSE,"139,669.06 ",Private Sector ,,,,
CC400 Program Operations Central,"PANORAMA PANORAMA: Workday, Adaptive, Smart Simple Systems",GR000012.00 Panorama - Funded through carryforward,"724,806.29 ",Other,,,,
CC400 Program Operations Central,40000000 Program Management - General,GR000001.01 Program Unrestricted - cc000,"512,966.07 ",Other,,,,
CC400 Program Operations Central,"PANORAMA PANORAMA: Workday, Adaptive, Smart Simple Systems",GR000042.00 Panorama - OSP Board Payout,"315,000.00 ",Other,,,,
CC400 Program Operations Central,10400066 COU DocLink for Sage,GR000001.01 Program Unrestricted - cc000,"43,232.43 ",Other,,,,
CC400 Program Operations Central,10900001 Workday Learning,GR000001.01 Program Unrestricted - cc000,"24,782.60 ",Other,,,,
CC401 Network Commitments,40000002 Network Services,GR000001.01 Program Unrestricted - cc000,"19,000,000.00 ",Network Services,,,,
CC402 Grants Administration and Compliance,40000000 Program Management - General,GR000001.01 Program Unrestricted - cc000,"689,150.38 ",Other,,,,
CC403 Financial Reporting and Compliance,40000000 Program Management - General,GR000001.01 Program Unrestricted - cc000,"488,068.21 ",Other,,,,
CC404 Wildlife Tech,9F071701 KAZA Elephants and Other Wildlife,GR000011.01 Uncovered Salaries and Expenses,"30,031.71 ",Landscape,Southern Africa,,,
CC404 Wildlife Tech,9Z210406 Wildlabs,GR000011.02 Restricted Coverage Identified,"197,132.00 ",Resilience,,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000011.01 Uncovered Salaries and Expenses,"192,346.46 ",Resilience,,,,
CC404 Wildlife Tech,9Z210407 e-DNA,GR000011.01 Uncovered Salaries and Expenses,"127,896.67 ",Landscape,,,,
CC404 Wildlife Tech,9Z210407 e-DNA,GR011771.16 Bequest Laura L Sterns - DNA/eDNA contributions to Dzanga-Sangha forest elephant- cc404 - 15.5%,"90,000.00 ",Landscape,Congo,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000336.11 Protect Elephants Bucket - Technology for Elephants - 404 - 15.5%,"85,235.55 ",Resilience,,,,
CC404 Wildlife Tech,9Z210408 Wildlife Technology,GR000011.01 Uncovered Salaries and Expenses,"57,227.56 ",Resilience,,,,
CC404 Wildlife Tech,9Z210407 e-DNA,GR000011.02 Restricted Coverage Identified,"41,743.94 ",Landscape,,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000336.04 Protect Elephants - 404,"16,533.14 ",Resilience,,,,
CC404 Wildlife Tech,9Z210407 e-DNA,GR000340.02 Wildlife Technology Bucket - e-DNA - 404 - 15.5%,"15,584.42 ",Landscape,,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000011.02 Restricted Coverage Identified,"13,917.14 ",Resilience,,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000310.04 Help Species in Peril - 404,"7,300.00 ",Resilience,,,,
CC404 Wildlife Tech,9Z210406 Wildlabs,GR000011.01 Uncovered Salaries and Expenses,"6,296.50 ",Resilience,,,,
CC404 Wildlife Tech,9Z210400 Wildlife Crime Technology,GR000340.01 Wildlife Technology Bucket - 404,"1,681.70 ",Resilience,,,,
CC405 Eastern Himalayas,9S008400 Tigers - Eastern Himalayas,GR011605.02 - Discovery - Project CAT - BHL - CC405,"148,604.96 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S214000 Asian Greater One-Horned Rhinos,GR000327.05 Asian Greater One-Horned Rhinos Bucket - 405 - 15.5%,"86,580.09 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S008400 Tigers - Eastern Himalayas,GR000011.02 Restricted Coverage Identified,"30,502.14 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S214000 Asian Greater One-Horned Rhinos,GR000011.01 Uncovered Salaries and Expenses,"14,439.99 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S214000 Asian Greater One-Horned Rhinos,GR000321.04 Protect Rhinos Bucket - 405,"13,537.33 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S008400 Tigers - Eastern Himalayas,GR000320.07 Save the Tigers in the Wild - CC405,"12,414.74 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S008400 Tigers - Eastern Himalayas,GR000011.01 Uncovered Salaries and Expenses,"7,311.39 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S008400 Tigers - Eastern Himalayas,GR000720.13 Eastern Himalayas Bucket - CC405,"5,650.00 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9Z125600 Wildlife Trade & Wildlife Law,GR011598.01 INL - Countering Wildlife Trafficking in South and Southeast Asia - HQ,"20,460.15 ",Resilience,Eastern Himalaya,,,
CC405 Eastern Himalayas,9Z125621 Wildlife Enforcement and Zero Poaching,GR000337.03 Bucket Ranger Support - 405,"157,320.81 ",Resilience,,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR000720.14 Moxness Eastern Himalayas - CC405,"96,360.06 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR000720.13 Eastern Himalayas Bucket - CC405,"40,881.74 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR000011.02 Restricted Coverage Identified,"38,920.42 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR012230.01 Gates Family Fdn – Poha Fund – Balbi Brooks – HQ CC405,"34,632.03 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR000720.16 Eastern Himalayas Bucket - CC405 - 0%,"25,000.00 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S073661 Asian Elephants - Eastern Himalayas,GR000336.08 Protect Elephants - Asian Elephants - 405 - 15.5%,"22,643.31 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR000011.01 Uncovered Salaries and Expenses,"21,373.10 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S090000 Eastern Himalayan General - Wildlife,GR012624.01 DAF Eastern Himalayas Bucket - 405 - 15.5%,"19,012.50 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9Z210407 e-DNA,GR000011.01 Uncovered Salaries and Expenses,"13,785.96 ",Landscape,,,,
CC405 Eastern Himalayas,9S073661 Asian Elephants - Eastern Himalayas,GR000011.01 Uncovered Salaries and Expenses,"6,667.00 ",Landscape,Eastern Himalaya,,,
CC405 Eastern Himalayas,9S073603 Asian Elephants – India,GR000336.08 Protect Elephants - Asian Elephants - 405 - 15.5%,"2,000.00 ",Landscape,,India,,
CC405 Eastern Himalayas,9S073605 Asian Elephant Collaring,GR000307.04 Asian Rhinos & Elephants Bucket - 405 - 15.5%,432.88 ,Landscape,Eastern Himalaya,,,
CC407 Chief Conservation Officer,40700000 Conservation Programs,GR000001.01 Program Unrestricted - cc000,"1,621,546.01 ",Other,,,,
CC407 Chief Conservation Officer,40700100 Strategy and Impact,GR000001.01 Program Unrestricted - cc000,"369,268.52 ",Other,,,,
CC408 EFL- Bhutan For Life,BT200301 Bhutan for Life - Transition Fund,GR007900.01 Bhutan for Life - GCF - 408,"3,500,000.00 ",Landscape,Eastern Himalaya,,,
CC408 EFL- Bhutan For Life,BT200301 Bhutan for Life - Transition Fund,GR004332.02 Bhutan for Life - Transition Fund - 408i,"250,000.00 ",Landscape,Eastern Himalaya,,,
CC408 EFL- Bhutan For Life,BT200301 Bhutan for Life - Transition Fund,GR004301.02 Bhutan for Life - Transition Fund - 408,"93,649.00 ",Landscape,Eastern Himalaya,,,
CC408 EFL- Bhutan For Life,BT200301 Bhutan for Life - Transition Fund,GR004357.08 Bhutan for Life - Transition Fund - 408h,"78,929.00 ",Landscape,Eastern Himalaya,,,
CC408 EFL- Bhutan For Life,BT200301 Bhutan for Life - Transition Fund,GR005J42.01 BFL - Transition Funds - 408b,"17,728.00 ",Landscape,Eastern Himalaya,,,
CC409 EFL - Earth for Life,BEF00003 Bezos – PFP – Namibia,GR010441.01 Bezos-PFP-Transition Funds - 409,"15,000,000.00 ",Landscape,Southern Africa,Namibia,,
CC409 EFL - Earth for Life,BEF00004 Bezos – PFP – Belize,GR010441.01 Bezos-PFP-Transition Funds - 409,"12,000,000.00 ",Landscape,,Belize,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR011370.02 CC409 Enduring Earth - GEF,"5,466,445.00 ",Landscape,Southern Africa,Namibia,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR012321.01 PFP Deal Funds_Ubbens--cc409,"5,000,000.00 ",Landscape,,,,
CC409 EFL - Earth for Life,9L082206 PFP - Belize,"GR012134.01 Resilient, Bold Belize","4,742,964.00 ",Landscape,,Belize,,
CC409 EFL - Earth for Life,BEF00001 Bezos – PFP – Peru,GR010441.01 Bezos-PFP-Transition Funds - 409,"4,250,000.00 ",Landscape,Amazon,Peru,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR000011.01 Uncovered Salaries and Expenses,"1,730,841.24 ",Landscape,,,,
CC409 EFL - Earth for Life,41000053 Earth for Life - Forest,GR011599.01 HECO Marine PFP - CC409,"1,600,000.00 ",Landscape,Amazon,Colombia ,,
CC409 EFL - Earth for Life,9L082223 HECO Leticia Project Administration,GR004950.13 Ubbens - HECO Invest Platform - 409,"1,410,947.07 ",Landscape,Amazon,Colombia ,,
