Goal-Program,Program,WD Cost Center Hierarchy,Grant,Funding Type,Total,Project Area,Strategic Alignment,Type,Place-based?,IP or Country,RM Outcome,IP Country
Climate,8C000200 Adaptation and Resilience,CC425 Climate Adaptation and Resilience,GR010662.04 HeCo Colombia - 425,Restricted,26158.0,Adaptation and Resilience (HeCo),Resilience,Climate,IP,Amazon,3.0,Colombia
Climate,BEF00001 Bezos  PFP  Peru,CC425 Climate Adaptation and Resilience,GR010441.09 Bezos-PFP-Coordination Fund - 425,Restricted,49416.23,Adaptation - PFP,Resilience,Climate,IP,Amazon,3.0,Peru
Climate,BEF00009 Bezos  Coordination,CC445 Climate Change (US Program),GR010444.01 Bezos Earth Fund Coordination/Science - 445,Restricted,125302.59,Adaptation - PFP,Resilience,Climate,IP,Amazon,3.0,Peru
Earth for Life/CAI,41000053 Earth for Life - Forest,CC409 EFL - Earth for Life,GR010662.02 HeCo Colombia - CC409,Restricted,137114.55,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,41000053 Earth for Life - Forest,CC409 EFL - Earth for Life,GR011350.01 Enduring Earth Bucket- 409,Restricted,64935.07,EFL (ARPA),Landscape,PFP,IP,Amazon,2.0,Brazil
Earth for Life/CAI,41000053 Earth for Life - Forest,CC409 EFL - Earth for Life,GR011599.01 HECO Marine PFP - CC409,Restricted,1600000.0,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,41000053 Earth for Life - Forest,CC409 EFL - Earth for Life,GR012825.01 Wal Mart ARPA Communities-- CC 409,Restricted,1000000.0,EFL (ARPA),Landscape,PFP,IP,Amazon,2.0,Brazil
Earth for Life/CAI,41000054 Forest-Enduring Earth,CC409 EFL - Earth for Life,GR011418.03 Sall - SW Amazon - 409,Restricted,24577.99,CAI - SW Amazon,Landscape,Conservation Areas,IP,Amazon,2.0,"Peru, Bolivia"
Earth for Life/CAI,41000054 Forest-Enduring Earth,CC409 EFL - Earth for Life,GR012343.01 Moore_30X30 - HQ cc409 12.5% to HQ,Restricted,18586.85,CAI,Landscape,Conservation Areas,IP,Amazon,2.0,
Earth for Life/CAI,41000054 Forest-Enduring Earth,CC409 EFL - Earth for Life,GR012952.01 Moore Mechanisms in Brazilian Amazon--CC 409,Restricted,18333.33,CAI,Landscape,Conservation Areas,IP,Amazon,2.0,Brazil
Earth for Life/CAI,9L082204 PFP - Colombia,CC409 EFL - Earth for Life,GR010662.02 HeCo Colombia - CC409,Restricted,8341.45,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,9L082223 HECO Leticia Project Administration,CC409 EFL - Earth for Life,GR004950.13 Ubbens - HECO Invest Platform - 409,Restricted,1410947.07,EFL (HeCo Invest),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,BEF00001 Bezos  PFP  Peru,CC409 EFL - Earth for Life,GR010441.01 Bezos-PFP-Transition Funds - 409,Restricted,4250000.0,EFL (Peru),Landscape,PFP,IP,Amazon,2.0,Peru
Earth for Life/CAI,BEF00002 Bezos  PFP  Colombia,CC409 EFL - Earth for Life,GR000011.01 Uncovered Salaries and Expenses,UNR,140531.55,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,BEF00002 Bezos  PFP  Colombia,CC409 EFL - Earth for Life,GR010441.01 Bezos-PFP-Transition Funds - 409,Restricted,1.0,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Earth for Life/CAI,BEF00002 Bezos  PFP  Colombia,CC409 EFL - Earth for Life,GR010441.02 Bezos-PFP-Coordination Fund - 409,Restricted,57453.53,EFL (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
Forest,41000070 NatCap and Infrastrucuture,CC514 Green Economy & Infrastructure,GR000011.02 Restricted Coverage Identified,UNR,351924.84,Infrastructure - GRID,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,41000070 NatCap and Infrastrucuture,CC514 Green Economy & Infrastructure,GR000420.03 General Forest Bucket - 514 (inactive),Restricted,151252.4,Infrastructure - GRID,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,41000070 NatCap and Infrastrucuture,CC514 Green Economy & Infrastructure,GR004892.01 Alexander Fund - 410,Restricted,65169.73,Infrastructure - GRID,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,41000070 NatCap and Infrastrucuture,CC514 Green Economy & Infrastructure,GR012287.01 Charles Stewart Mott Foundation - Expanding Renewable Energy in the Amazon (non-Brazil) 2024-2025 - 514,Restricted,14960.23,Infrastructure,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,41000070 NatCap and Infrastrucuture,CC514 Green Economy & Infrastructure,GR013084.01 Moore - Dissemination of Green Road Infrastructure(GRI) - 436 (12.5%),Restricted,48487.2,Infrastructure,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,41000080 GRID Cost Share,CC514 Green Economy & Infrastructure,GR000011.01 Uncovered Salaries and Expenses,UNR,479117.58,Infrastructure - GRID,Infrastructure,Roads and Dams,IP,Amazon,3.0,
Forest,9L082701 Amazon Regional Coordination,CC620 Amazon - Forest Goal,GR000011.01 Uncovered Salaries and Expenses,UNR,57304.14,Amazon Regional Coordination,Landscape,Conservation Areas,IP,Amazon,2.0,
Forest,9L082701 Amazon Regional Coordination,CC620 Amazon - Forest Goal,GR000831.01 Amazon Bucket - 620,Restricted,24678.48,Amazon Regional Coordination,Landscape,Conservation Areas,IP,Amazon,2.0,
Forest,9L082701 Amazon Regional Coordination,CC620 Amazon - Forest Goal,GR010444.06 Bezos Earth Fund - Coordination - Amazon - 620,Restricted,128119.43,Amazon Regional Coordination,Landscape,Conservation Areas,IP,Amazon,2.0,
Forest,9L094470 Emergency Fund for Amazon Fires,CC620 Amazon - Forest Goal,GR000523.01 Amazon Fire Rapid Response & Recovery - 620,Restricted,4150.0,Amazon Fire,Landscape,Conservation Areas,IP,Amazon,2.0,
Forest,9Z136800 GFTN-NA,CC436 Forest Trade,GR0035D1.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436b,Restricted,791768.38,GFTN,Private Sector,Supply Chain - Forest,IP,Amazon,3.0,Brazil
Forest,9Z136810 HP - Forest Positive - Comms,CC436 Forest Trade,GR003C05.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436a,Restricted,104390.68,Forest Positive,Private Sector,Supply Chain - Forest,IP,Amazon,3.0,Brazil
Forest,9Z136812 Forest Positive  Science,CC436 Forest Trade,GR003C05.01 HP - Forest Positive Collaboration and GFTN-NA Participation - 436a,Restricted,119626.88,Forest Positive,Private Sector,Supply Chain - Forest,IP,Amazon,3.0,Brazil
Forest,9Z140051 NbSOP General,CC416 Forest and Climate Program (FCP),GR012826.01 Advancing High-integrity Landscape Approaches and Strengthening Protected Areas in the Brazilian Amazon - WMT - cc41,Restricted,19000.0,NbSOP,Resilience,Restoration,IP,Amazon,3.0,Brazil
Forest,9Z140056 NbSOP Other Goals,CC416 Forest and Climate Program (FCP),GR010662.05 HeCo Colombia - 416,Restricted,27332.0,NbSOP (HeCo),Resilience,Restoration,IP,Amazon,3.0,
Freshwater,44200041 Connected Rivers of Resilience - General,CC442 Freshwater,GR010662.03 HeCo Colombia CC442,Restricted,46065.54,Rivers of Resilience (HeCO),Resilience,Water,IP,Amazon,3.0,Colombia
GCF,9L082204 PFP - Colombia,CC422 GCF Management Unit,GR010662.01 HeCo Colombia - CC422,Restricted,3709975.0,GCF (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
GCF,9Z142100 GCF Management Unit-Global Partnerships and Multilateral Engagement,CC422 GCF Management Unit,GR011437.01 HeCo Fee,Restricted,181887.75,GCF (HeCo),Landscape,PFP,IP,Amazon,2.0,Colombia
GEF and Multilaterals,9Z142902 GEF Manangement Unit,CC426 GEF Management Unit,GR010616.02 GEF Ecuador Evaluations,Restricted,35000.0,GEF - Ecuador,Landscape,Conservation Areas,IP,Amazon,2.0,Ecuador
GEF and Multilaterals,9Z142902 GEF Manangement Unit,CC710 Network Development GEF,GR010616.03 WWF Ecuador Biodiversity conservation and sustainable management of two priority landscapes in the Ecuadorian Amazon,Restricted,1500000.0,GEF - Ecuador,Landscape,Conservation Areas,IP,Amazon,2.0,Ecuador
GEF and Multilaterals,9Z142902 GEF Manangement Unit,CC710 Network Development GEF,GR010624.01 Mainstreaming biodiversity conservation in the Tourism Sector Colombia,Restricted,652294.0,GEF - CO Tourism,Other,Tourism,IP,Amazon,1.0,Colombia
Global Policy and Partnerships,70500010 TFFF,CC723 Global Policy,GR013068.01 RBF TFFF - 723,Restricted,56114.66,Global Policy,Finance,Other (TFFF),IP,Amazon,5.0,
Global Policy and Partnerships,70500010 TFFF,CC723 Global Policy,GR004358.11 Sall - Global Policy - 723,Restricted,65620.8,Global Policy,Finance,Other (TFFF),IP,Amazon,5.0,
Oceans,BEF00014 Bezos  Mangroves  Comms,CC510 Mangroves,GR010442.01 Bezos Mangroves - 510,Restricted,26119.77,Mangroves,Resilience,Climate,IP,"Amazon, SWIO",3.0,
Oceans,BEF00015 Bezos  Mangroves  Other,CC510 Mangroves,GR010442.01 Bezos Mangroves - 510,Restricted,654532.31,Mangroves,Resilience,Climate,IP,"Amazon, SWIO",3.0,
Oceans,BEF00015 Bezos  Mangroves  Other,CC510 Mangroves,GR012692.01 Salesforce c/o Plant for the Planet  Madagascar Mangrove Restoration Project - cc510,Restricted,7850.23,Mangroves,Resilience,Climate,IP,"Amazon, SWIO",3.0,
